Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
459,-11,-11,-11,-11,-11,-11,-8,-8
460,-23,-23,-23,-23,-23,-23,-21,-21
462,-30,-30,-31,-31,-33,-33,-26,-26
463,-15,-15,-15,-15,-15,-15,-12,-12
464,-17,-17,-16,-16,-16,-16,-15,-15
465,-17,-17,-21,-21,-20,-20,-8,-12
466,-14,-14,-14,-14,-13,-13,-12,-11
467,-10,-10,-14,-14,-14,-14,-13,-13
468,-16,-16,-17,-17,-17,-17,-17,-17
469,-30,-30,-30,-30,-30,-30,-24,-24
470,-32,-32,-32,-32,-32,-32,-27,-27
471,-13,-13,-13,-13,-13,-13,-10,-10
472,-14,-14,-14,-14,-14,-14,-14,-14
473,-13,-13,-13,-13,-13,-13,-13,-13
474,-27,-27,-29,-29,-29,-29,-29,-29
475,-39,-39,-39,-39,-39,-39,-36,-36
476,-20,-20,-20,-20,-21,-21,-21,-21
477,-25,-25,-27,-27,-27,-27,-25,-25
478,-12,-12,-13,-13,-13,-13,-10,-10
479,-11,-11,-12,-12,-13,-13,-10,-10
480,-15,-15,-16,-16,-15,-15,-7,-7
481,-24,-24,-24,-24,-24,-24,-22,-22
482,-18,-18,-18,-18,-18,-18,-18,-18
483,-23,-23,-23,-23,-22,-22,-18,-18
484,-16,-16,-16,-16,-16,-16,-14,-14
485,-15,-15,-18,-18,-17,-17,-14,-13
486,-23,-23,-24,-24,-25,-25,-20,-20
487,-16,-16,-17,-17,-17,-17,-16,-16
488,-15,-15,-13,-13,-12,-12,-7,-10
489,-23,-23,-24,-24,-24,-24,-14,-13
490,-31,-31,-30,-30,-30,-30,-27,-17
491,-29,-29,-31,-31,-32,-32,-32,-32
492,-41,-41,-41,-41,-43,-43,-43,-43
494,-25,-25,-25,-25,-25,-25,-25,-25
495,-27,-27,-26,-26,-27,-27,-23,-23
496,-27,-27,-27,-27,-27,-27,-24,-24
497,-18,-18,-19,-19,-19,-19,-19,-19
498,-27,-27,-27,-27,-27,-27,-24,-24
499,-25,-25,-25,-25,-26,-26,-23,-23
500,-27,-27,-27,-27,-28,-28,-25,-25
501,-16,-16,-16,-16,-16,-16,-14,-14
503,-24,-24,-25,-25,-25,-25,-22,-22
504,-21,-21,-21,-21,-21,-21,-20,-20
505,-20,-20,-20,-20,-19,-19,-18,-18
506,-15,-15,-15,-15,-17,-17,-15,-15
507,-20,-20,-21,-21,-21,-21,-19,-19
508,-12,-12,-12,-12,-12,-12,-11,-11
509,-13,-13,-13,-13,-13,-13,-14,-14
510,-28,-28,-30,-30,-30,-30,-28,-28
511,-23,-23,-23,-23,-22,-22,-16,-16
512,-20,-20,-20,-20,-20,-20,-15,-15
513,-34,-34,-37,-37,-30,-30,-26,-26
514,-10,-10,-11,-11,-11,-11,-11,-11
515,-15,-15,-16,-16,-16,-16,-14,-14
516,-12,-12,-12,-12,-11,-11,-9,-9
517,-11,-11,-12,-12,-12,-12,-10,-10
518,-21,-21,-21,-21,-20,-20,-18,-18
519,-23,-23,-23,-23,-23,-23,-22,-22
520,-14,-14,-14,-14,-12,-12,-7,-9
521,-13,-13,-15,-15,-15,-15,-9,-9
522,-25,-25,-26,-26,-26,-26,-25,-25
523,-16,-16,-17,-17,-17,-17,-15,-15
524,-26,-26,-26,-26,-25,-25,-21,-20
526,-18,-18,-16,-16,-15,-15,-14,-14
527,-13,-13,-14,-14,-12,-12,-11,-11
528,-11,-11,-11,-11,-11,-11,-11,-11
529,-12,-12,-13,-13,-13,-13,-12,-12
530,-12,-12,-12,-12,-12,-12,-11,-11
531,-13,-13,-14,-14,-13,-13,-6,-7
532,-44,-44,-44,-44,-44,-44,-44,-44
533,-23,-23,-23,-23,-23,-23,-20,-20
534,-17,-17,-18,-18,-19,-19,-11,-11
535,-16,-16,-17,-17,-17,-17,-12,-12
536,-24,-24,-24,-24,-24,-24,-20,-20
537,-12,-12,-12,-12,-12,-12,-8,-8
538,-14,-14,-15,-15,-15,-15,-14,-14
539,-14,-14,-15,-15,-15,-15,-12,-12
540,-18,-18,-19,-19,-19,-19,-16,-16
541,-18,-18,-19,-19,-19,-19,-18,-18
542,-22,-22,-23,-23,-25,-25,-23,-23
543,-14,-14,-14,-14,-14,-14,-13,-13
544,-15,-15,-15,-15,-15,-15,-13,-13
545,-16,-16,-15,-15,-15,-15,-14,-14
546,-14,-14,-14,-14,-14,-14,-13,-13
547,-35,-35,-36,-36,-36,-36,-34,-34
548,-18,-18,-18,-18,-18,-18,-17,-1
549,-30,-30,-32,-32,-31,-31,-29,-29
550,-16,-16,-15,-15,-15,-15,-10,-10
